Symbol,Entry,Exit,Entry_Price,Exit_Price,Type,PnL,PnL_%,Reason
HBSA3<XBSP>,2023-08-28,2023-09-01,3.756660757,3.841185624,short,-243064.82592070848,-1.2376237615196537,Above VWAP (Short)
ORVR3<XBSP>,2023-08-25,2023-09-05,35.13,35.85,short,-141870.96690000035,-1.0391389267022373,Above VWAP (Short)
ANIM3<XBSP>,2023-08-28,2023-09-05,3.288519974,2.882849531,short,1651361.5377335474,13.203918817473678,Take Profit (Short)
GMAT3<XBSP>,2023-08-28,2023-09-13,6.779120029,7.025633485,short,-409091.3114305623,-2.6102610319446473,Stop Loss (Short)
MDIA3<XBSP>,2023-09-01,2023-09-13,35.32362692,36.81885729,short,-428564.120165918,-3.200937522852882,Stop Loss (Short)
DXCO3<XBSP>,2023-09-05,2023-09-13,7.458826361,7.803521803,short,-572539.9735681806,-3.585454828247735,Stop Loss (Short)
BHIA3<XBSP>,2023-09-13,2023-09-14,27.75,22.5,short,3799327.125,19.721701899919722,Take Profit (Short)
UGPA3<XBSP>,2023-09-13,2023-09-14,17.09083202,17.48243864,short,-157203.17824923992,-1.2785402598486921,Above VWAP (Short)
BHIA3<XBSP>,2023-09-14,2023-09-15,22.5,19.0,short,2653310.0500000007,16.3916391639164,Take Profit (Short)
VLID3<XBSP>,2023-09-01,2023-09-20,15.41538864,14.72749764,long,-756183.072857121,-4.557807793648625,Stop Loss
RECV3<XBSP>,2023-09-05,2023-09-21,17.82748552,16.57948254,short,1009385.3816380501,7.9212307921439615,Take Profit (Short)
SEQL3<XBSP>,2023-09-14,2023-09-21,9.994572428,9.051688236,short,1334433.3172796275,10.330655713808994,Take Profit (Short)
BHIA3<XBSP>,2023-09-15,2023-09-22,19.0,17.0,short,1549514.789999999,11.412193850964037,Take Profit (Short)
ANIM3<XBSP>,2023-09-22,2023-09-28,2.321815939,2.511704232,short,-937533.5018474739,-7.107365036799622,Stop Loss (Short)
RDOR3<XBSP>,2023-09-21,2023-10-02,25.06863057,23.54559301,short,917228.0854307823,7.005417541111914,Take Profit (Short)
MDIA3<XBSP>,2023-10-02,2023-10-05,36.55190797,35.47432758,long,-398210.93767584115,-3.045037428975853,Below VWAP
OIBR3<XBSP>,2023-10-05,2023-10-06,6.638343993,6.043865426,long,-1175793.6946559735,-9.046177709857071,Stop Loss
